Extra options: []
Measured: 100 times

Total Average: 58.396710 msec
Total Max:     113.266000 msec
Total Min:     43.117000 msec

  AVERAGE       MAX       MIN
------------------------------
32.787310 82.227000 25.329000: /home/liquid_system/.config/nvim/plugin/packer_compiled.lua
16.568390 52.274000 12.300000: require('modules.completion.lspconfig')
12.683470 40.921000  7.911000: /home/liquid_system/.config/nvim/init.lua
12.311590 39.495000  7.691000: require('core')
 6.085810 19.513000  3.814000: require('impatient')
 4.255420 13.862000  2.594000: require('modules')
 3.988210  7.358000  3.361000: require('modules.colorScheme.tokyonight')
 3.567310 15.129000  2.784000: require('modules.ui.lualine')
 2.683670 12.113000  1.694000: require('modules.completion.cmp')
 2.423300  9.551000  1.700000: require('modules.completion.null-ls')
 1.869900  6.199000  1.090000: require('packer')
 1.838120  9.418000  1.079000: require('cmp')
 1.768840  6.198000  1.133000: require('lspconfig')
 1.741460  6.093000  1.115000: require('lspconfig.configs')
 1.698380  5.845000  1.089000: require('lspconfig.util')
 1.567450  8.526000  0.894000: require('cmp.core')
 1.566160  5.427000  1.024000: require('vim.lsp')
 1.516140  4.573000  1.032000: loading rtp plugins
 1.371350  2.356000  1.235000: loading packages
 1.327030  6.327000  0.940000: require('modules.ui.bufferline')
 1.222660  4.577000  0.590000: require('core.keymap')
 1.121800  4.133000  0.544000: require('nvim-treesitter.fold')
 1.111460  3.951000  0.702000: require('vim.lsp.handlers')
 1.106060  6.340000  0.320000: require('schemastore.catalog')
 1.092480  3.353000  0.643000: sourcing vimrc file(s)
 0.948550  3.034000  0.570000: require('packer.plugin_utils')
 0.945710  2.389000  0.683000: /home/liquid_system/.local/share/nvim/site/pack/packer/start/tokyonight.nvim/colors/tokyonight.lua
 0.832710  1.593000  0.743000: /home/liquid_system/.local/share/nvim/site/pack/packer/start/fern-renderer-nerdfont.vim/plugin/fern_renderer_nerdfont.vim
 0.825960  3.915000  0.336000: require('mason-lspconfig.server_configurations.pylsp')
 0.811780  2.900000  0.403000: require('nvim-treesitter.ts_utils')
 0.788210  2.714000  0.233000: require('tokyonight')
 0.777290  3.765000  0.312000: require('mason-core.managers.pip3')
 0.766070  1.486000  0.683000: /home/liquid_system/.local/share/nvim/site/pack/packer/start/fern.vim/autoload/fern.vim
 0.651410  2.277000  0.319000: require('nvim-treesitter.parsers')
 0.649630  3.086000  0.240000: require('mason-core.installer')
 0.603340  2.397000  0.420000: require('null-ls')
 0.594440  2.622000  0.420000: require('modules.ui.trouble')
 0.564990  2.391000  0.384000: require('modules.tools.surround')
 0.544530  2.151000  0.101000: require('tokyonight.theme')
 0.508250  2.314000  0.378000: require('trouble')
 0.477140  1.738000  0.263000: require('vim.lsp.protocol')
 0.474670  0.849000  0.339000: /home/liquid_system/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
 0.474010  1.637000  0.287000: /usr/local/share/nvim/runtime/filetype.lua
 0.472910  1.730000  0.294000: require('vim.lsp.util')
