Extra options: []
Measured: 100 times

Total Average: 29.039310 msec
Total Max:     61.757000 msec
Total Min:     26.052000 msec

  AVERAGE       MAX       MIN
------------------------------
15.276110 35.710000 13.836000: /home/liquid_system/.config/nvim/init.lua
15.065720 35.395000 13.663000: require('core')
10.878300 27.157000 10.045000: require('modules')
 3.119860  6.485000  2.785000: /usr/local/share/nvim/runtime/syntax/syntax.vim
 2.797130  6.639000  2.458000: require('impatient')
 1.799830  6.653000  1.594000: loading rtp plugins
 1.388180  3.909000  1.099000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/plugin/nvim-ts-autotag.vim
 1.371500  5.070000  1.089000: require('trouble')
 1.323470  5.375000  1.080000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_buffer.lua
 1.237660  4.632000  0.973000: require('trouble.view')
 1.199660  4.880000  0.975000: require('cmp')
 1.180700  4.391000  0.933000: require('trouble.renderer')
 1.084590  4.067000  0.858000: require('trouble.providers')
 1.039190  2.763000  0.811000: require('nvim-ts-autotag')
 0.995370  2.679000  0.782000: require('nvim-ts-autotag.internal')
 0.988770  4.035000  0.773000: require('cmp.core')
 0.904660  2.244000  0.760000: require('vim.filetype')
 0.897130  2.619000  0.589000: require('core.keymap')
 0.807440  2.029000  0.726000: require('vim.filetype.detect')
 0.806890  1.970000  0.731000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/plugin/fern_renderer_nerdfont.vim
 0.784350  2.889000  0.628000: require('trouble.providers.lsp')
 0.751960  1.802000  0.681000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/autoload/fern.vim
 0.748160  2.759000  0.597000: require('vim.lsp')
 0.644030  3.437000  0.448000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_luasnip.lua
 0.619430  1.771000  0.443000: require('nvim-treesitter.ts_utils')
 0.589620  3.095000  0.410000: require('cmp_luasnip')
 0.556120  2.875000  0.385000: require('vim.lsp.util')
 0.482350  2.044000  0.410000: /usr/local/share/nvim/runtime/plugin/rplugin.vim
 0.479540  1.219000  0.335000: require('nvim-treesitter.parsers')
 0.475900  1.961000  0.352000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/nvim-cmp/plugin/cmp.lua
 0.407120  1.655000  0.351000: loading after plugins
 0.379410  1.436000  0.233000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/nvim-treesitter/plugin/nvim-treesitter.lua
 0.366180  1.361000  0.318000: /usr/local/share/nvim/runtime/plugin/matchit.vim
 0.358520  1.321000  0.244000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/Comment.nvim/plugin/Comment.lua
 0.355870  2.107000  0.214000: require('vim.lsp.protocol')
 0.349120  1.245000  0.205000: require('modules.ui.finget')
 0.334130  1.296000  0.167000: require('nvim-treesitter')
 0.326530  1.318000  0.234000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/lspsaga.nvim/plugin/lspsaga.lua
 0.291290  0.731000  0.200000: require('core.options')
 0.262620  0.968000  0.146000: require('vim.treesitter')
 0.255100  0.860000  0.181000: require('cmp.utils.str')
 0.244350  1.119000  0.199000: BufEnter autocommands
 0.238740  1.122000  0.128000: require('nvim-treesitter.configs')
 0.234880  0.892000  0.117000: require('vim.diagnostic')
 0.232580  0.831000  0.204000: sourcing vimrc file(s)
 0.232210  0.995000  0.192000: require('cmp.view')
 0.228130  0.869000  0.110000: require('nvim-treesitter.install')
 0.223730  0.785000  0.198000: init lua interpreter
 0.222120  0.518000  0.192000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/plugin/glyph_palette.vim
 0.221140  0.742000  0.158000: require('vim.lsp.handlers')
 0.208340  0.680000  0.171000: require('cmp.source')
 0.193210  0.725000  0.143000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/auto-save.nvim/plugin/auto-save.lua
 0.192170  0.726000  0.152000: require('Comment.api')
 0.170770  0.688000  0.145000: inits 1
 0.168610  0.658000  0.103000: require('fidget')
 0.167460  0.650000  0.149000: init highlight
 0.161590  0.739000  0.082000: require('nvim-treesitter.query')
 0.160780  0.378000  0.145000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/fern.vim
 0.154590  0.645000  0.069000: require('trouble.util')
 0.154100  0.422000  0.098000: require('cmp.types')
 0.152440  0.391000  0.034000: require('cmp.utils.char')
 0.142940  0.689000  0.126000: require('vim._init_packages')
 0.141485  0.555000  0.032000: /usr/local/share/nvim/runtime/filetype.lua
 0.139750  0.536000  0.104000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/dashboard-nvim/plugin/dashboard.lua
 0.127635  0.939000  0.010000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/vim-jetpack/plugin/jetpack.vim
 0.124220  0.442000  0.110000: /usr/local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
 0.115630  0.377000  0.091000: require('cmp.config')
 0.113540  0.464000  0.056000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_path.lua
 0.112940  0.462000  0.038000: require('trouble.config')
 0.112570  0.408000  0.086000: require('auto-save')
 0.111900  0.376000  0.058000: require('vim.treesitter.query')
 0.108180  0.503000  0.071000: require('vim.lsp.rpc')
 0.104060  0.421000  0.055000: require('fidget.log')
 0.097240  0.414000  0.085000: /usr/local/share/nvim/runtime/plugin/matchparen.vim
 0.096090  0.321000  0.059000: require('vim.lsp.log')
 0.095780  0.620000  0.064000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/nvim-lspconfig/plugin/lspconfig.lua
 0.091650  0.391000  0.075000: require('cmp_buffer')
 0.091630  0.400000  0.064000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/cmp-cmdline/after/plugin/cmp_cmdline.lua
 0.090760  0.288000  0.072000: opening buffers
 0.086100  0.318000  0.048000: require('cmp.types.lsp')
 0.085850  0.302000  0.066000: require('vim.lsp.buf')
 0.081630  0.435000  0.063000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_nvim_lsp.lua
 0.081430  0.371000  0.022000: require('nvim-treesitter.info')
 0.081330  0.325000  0.060000: require('Comment.utils')
 0.080450  0.300000  0.036000: require('cmp_path')
 0.078270  0.186000  0.058000: require('core.config')
 0.078270  0.386000  0.037000: require('nvim-ts-autotag.utils')
 0.076920  0.425000  0.063000: init default mappings
 0.074430  0.384000  0.063000: require('vim._editor')
 0.069660  0.314000  0.056000: require('cmp_buffer.source')
 0.069110  0.316000  0.056000: require('vim.lsp._snippet')
 0.069030  0.219000  0.049000: require('fidget.spinners')
 0.067270  0.262000  0.051000: require('cmp.utils.feedkeys')
 0.064190  0.220000  0.055000: loading packages
 0.062770  0.196000  0.029000: require('nvim-treesitter.shell_command_selectors')
 0.062520  0.160000  0.054000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_fern/Config.vim
 0.062380  0.149000  0.054000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/plugin/fern.vim
 0.061040  0.287000  0.045000: /home/liquid_system/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_nvim_lsp_signature_help.lua
